who_region,iso3c,participant,sfp_amc,vaccine,doses,population_2020_millions
EMRO,AFG,Afghanistan,AMC,AZ/SII,3024000,38.928341
EURO,ALB,Albania,SFP,AZ/SKBio,141600,2.8778
AFRO,DZA,Algeria,AMC,AZ/SKBio,2200800,43.851043
EURO,AND,Andorra,SFP,AZ/SKBio,26400,0.077265
AFRO,AGO,Angola,AMC,AZ/SII,2544000,32.866268
PAHO,ATG,Antigua and Barbuda,SFP,AZ/SKBio,40800,0.097928
PAHO,ARG,Argentina,SFP,AZ/SKBio,2275200,45.195777
EURO,ARM,Armenia,SFP,AZ/SKBio,146400,2.963234
EURO,AZE,Azerbaijan,SFP,AZ/SKBio,506400,10.139175
PAHO,BHS,Bahamas,SFP,AZ/SKBio,100800,0.393248
EMRO,BHR,Bahrain,SFP,AZ/SKBio,100800,1.701583
SEARO,BGD,Bangladesh,AMC,AZ/SII,12792000,164.689383
PAHO,BRB,Barbados,SFP,AZ/SKBio,100800,0.287371
PAHO,BLZ,Belize,SFP,AZ/SKBio,100800,0.397621
AFRO,BEN,Benin3,AMC,AZ/SII,936000,12.123198
SEARO,BTN,Bhutan,AMC,AZ/SII,108000,0.771612
SEARO,BTN,Bhutan,AMC,Pfizer/BioNTech,5850,0.771612
PAHO,BOL,Bolivia,AMC,AZ/SII,900000,11.673029
PAHO,BOL,Bolivia,AMC,Pfizer/BioNTech,92430,11.673029
EURO,BIH,Bosnia and Herzegovina,SFP,AZ/SKBio,153600,3.280815
EURO,BIH,Bosnia and Herzegovina,SFP,Pfizer/BioNTech,23400,3.280815
AFRO,BWA,Botswana,SFP,AZ/SKBio,117600,2.351625
PAHO,BRA,Brazil,SFP,AZ/SKBio,10672800,212.559409
WPRO,BRN,Brunei Darussalam,SFP,AZ/SKBio,100800,0.437483
AFRO,BFA,Burkina Faso,AMC,AZ/SII,1620000,20.903278
AFRO,CPV,Cabo Verde,AMC,AZ/SII,108000,0.555988
AFRO,CPV,Cabo Verde,AMC,Pfizer/BioNTech,5850,0.555988
WPRO,KHM,Cambodia,AMC,AZ/SII,1296000,16.718971
AFRO,CMR,Cameroon,AMC,AZ/SII,2052000,26.545864
PAHO,CAN,Canada,SFP,AZ/SKBio,1903200,37.742157
AFRO,CAF,Central African Republic,AMC,AZ/SII,372000,4.829764
AFRO,TCD,Chad,AMC,AZ/SII,1272000,16.425859
PAHO,CHL,Chile,SFP,AZ/SKBio,957600,19.116209
PAHO,COL,Colombia,SFP,AZ/SKBio,2553600,50.882884
